"Model","Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction"
"MPI-ESM1-2-LR","Mid","ssp585","VPD_below",4.4363314194592,0,0.00583655905015323,0
"MPI-ESM1-2-LR","Mid","ssp585","VPD_above",8.39012355668252,0,0.0110386001502044,0
"MPI-ESM1-2-LR","Mid","ssp585","VPD_outside",12.8264549761417,0,0.0168751592003576,0
"MPI-ESM1-2-LR","Mid","ssp585","SM_below",83.9995777428634,41,0.109929960476145,0.0535947712418301
"MPI-ESM1-2-LR","Mid","ssp585","SM_above",26.6357379495944,2,0.0348958470707286,0.00261437908496732
"MPI-ESM1-2-LR","Mid","ssp585","SM_outside",110.635315692458,54,0.144825807546873,0.0705882352941176
"MPI-ESM1-2-LR","Mid","ssp585","Either_outside",117.675831295404,67,0.154096265755548,0.0875816993464052
"MRI-ESM2-0","Mid","ssp585","VPD_below",3.42980829788745,0,0.00448495208756994,0
"MRI-ESM2-0","Mid","ssp585","VPD_above",23.8461778870877,0,0.0311758943208026,0
"MRI-ESM2-0","Mid","ssp585","VPD_outside",27.2759861849751,0,0.0356608464083726,0
"MRI-ESM2-0","Mid","ssp585","SM_below",129.89899046194,61,0.169876411078165,0.0797385620915033
"MRI-ESM2-0","Mid","ssp585","SM_above",42.8480514734369,7,0.0560247747571078,0.00915032679738562
"MRI-ESM2-0","Mid","ssp585","SM_outside",172.747041935377,91,0.225901185835272,0.118954248366013
"MRI-ESM2-0","Mid","ssp585","Either_outside",180.332841926773,102,0.235818957844317,0.133333333333333
"NorESM2-LM","Mid","ssp585","VPD_below",16.3222017279771,0,0.0213639963806349,0
"NorESM2-LM","Mid","ssp585","VPD_above",19.3864482871602,9,0.0253608019509814,0.0118811932952949
"NorESM2-LM","Mid","ssp585","VPD_outside",35.7086500151373,13,0.0467247983316163,0.0169934640522876
"NorESM2-LM","Mid","ssp585","SM_below",142.170222790275,110,0.185947803372837,0.143790849673203
"NorESM2-LM","Mid","ssp585","SM_above",62.2581726600732,36,0.0814429909390079,0.0470588235294118
"NorESM2-LM","Mid","ssp585","SM_outside",204.428395450349,166,0.267390794311845,0.216993464052288
"NorESM2-LM","Mid","ssp585","Either_outside",224.843599336718,189,0.294093555725469,0.247058823529412
"NorESM2-MM","Mid","ssp585","VPD_below",10.1974280925874,0,0.0133452815197295,0
"NorESM2-MM","Mid","ssp585","VPD_above",27.8261714674216,15,0.0364023296121997,0.0196078431372549
"NorESM2-MM","Mid","ssp585","VPD_outside",38.0235995600089,18,0.0497476111319292,0.0235294117647059
"NorESM2-MM","Mid","ssp585","SM_below",159.060254580983,148,0.208096652029181,0.193464052287582
"NorESM2-MM","Mid","ssp585","SM_above",45.5077695777201,26,0.0595472723625173,0.0339869281045752
"NorESM2-MM","Mid","ssp585","SM_outside",204.568024158703,181,0.267643924391699,0.236601307189542
"NorESM2-MM","Mid","ssp585","Either_outside",226.041872694513,212,0.295727558450074,0.277124183006536
"TaiESM1","Mid","ssp585","VPD_below",1.25299418600801,0,0.00163827966357589,0
"TaiESM1","Mid","ssp585","VPD_above",2.37603657170567,0,0.00310645265286098,0
"TaiESM1","Mid","ssp585","VPD_outside",3.62903075771369,0,0.00474473231643687,0
"TaiESM1","Mid","ssp585","SM_below",136.89543859379,126,0.179017450851482,0.164705882352941
"TaiESM1","Mid","ssp585","SM_above",61.9472074747338,46,0.0810011909294115,0.0601307189542484
"TaiESM1","Mid","ssp585","SM_outside",198.842646068524,173,0.260018641780893,0.226143790849673
"TaiESM1","Mid","ssp585","Either_outside",200.799090081756,175,0.262576619688,0.228758169934641
"CMCC-ESM2","End","ssp245","VPD_below",1.79559595560898,0,0.0023482034398063,0
"CMCC-ESM2","End","ssp245","VPD_above",59.9342919251454,47,0.0783605364316391,0.061437908496732
"CMCC-ESM2","End","ssp245","VPD_outside",61.7298878807543,49,0.0807087398714455,0.0640522875816993
"CMCC-ESM2","End","ssp245","SM_below",195.16303092124,210,0.255169609862027,0.274509803921569
"CMCC-ESM2","End","ssp245","SM_above",31.2861364879293,15,0.0409114380553942,0.0196078431372549
"CMCC-ESM2","End","ssp245","SM_outside",226.449167409169,233,0.296081047917421,0.305372188297132
"CMCC-ESM2","End","ssp245","Either_outside",252.401945969674,250,0.330008281919438,0.326797385620915
"CanESM5","End","ssp245","VPD_below",12.3725282827013,0,0.0161985861085796,0
"CanESM5","End","ssp245","VPD_above",61.4067946640985,48,0.0803426741796088,0.0627450980392157
"CanESM5","End","ssp245","VPD_outside",73.7793229467998,53,0.0965412602881884,0.069281045751634
"CanESM5","End","ssp245","SM_below",125.388893194766,98,0.164079495019922,0.128104575163399
"CanESM5","End","ssp245","SM_above",79.1079132958606,58,0.103495319811357,0.0758169934640523
"CanESM5","End","ssp245","SM_outside",204.496806490627,160,0.267574814831279,0.209150326797386
"CanESM5","End","ssp245","Either_outside",249.24816354104,219,0.326100699457665,0.286274509803922
"CanESM5-1","End","ssp245","VPD_below",8.14475949904518,0,0.0106651857505548,0
"CanESM5-1","End","ssp245","VPD_above",55.6030689319315,33,0.0727345550190443,0.0431654860897238
"CanESM5-1","End","ssp245","VPD_outside",63.7478284309767,38,0.0833997407695991,0.0496732026143791
"CanESM5-1","End","ssp245","SM_below",133.052798013081,87,0.174060537966639,0.113725490196078
"CanESM5-1","End","ssp245","SM_above",79.5482067174739,60,0.104051655078957,0.0784313725490196
"CanESM5-1","End","ssp245","SM_outside",212.601004730555,174,0.278112193045596,0.227450980392157
"CanESM5-1","End","ssp245","Either_outside",248.019983110785,218,0.324425115999832,0.284967320261438
"EC-Earth3","End","ssp245","VPD_below",1.72279566521905,0,0.00225248776132829,0
"EC-Earth3","End","ssp245","VPD_above",42.6284504777986,35,0.0557401545936699,0.0457516339869281
"EC-Earth3","End","ssp245","VPD_outside",44.3512461430176,36,0.0579926423549981,0.0470588235294118
"EC-Earth3","End","ssp245","SM_below",268.417483383037,276,0.350954248122502,0.36078431372549
"EC-Earth3","End","ssp245","SM_above",74.4447137873963,63,0.0973428700366248,0.0823529411764706
"EC-Earth3","End","ssp245","SM_outside",342.862197170433,348,0.448297118159126,0.454901960784314
"EC-Earth3","End","ssp245","Either_outside",347.392635063202,353,0.454220508934359,0.461437908496732
"INM-CM4-8","End","ssp245","VPD_below",36.2112576226959,0,0.0473588896724546,0
"INM-CM4-8","End","ssp245","VPD_above",66.1446926723356,54,0.086518177438347,0.0705882352941176
"INM-CM4-8","End","ssp245","VPD_outside",102.355950295032,65,0.133877067110802,0.0849673202614379
